,Model name,Threshold,Accuracy,True Positives,False Positive,FP Percent,True Negatives,False Negatives,FN Percent,Recall
77,heart_disease_RU,0.15,0.5815805973552212,37027,29203,44.09331118828326,3786,160,4.054738976178409,0.9594526102382159
78,heart_disease_RU,0.1,0.5133948928408573,32199,34031,51.38305903669033,3829,117,2.965027876330461,0.9703497212366954
79,heart_disease_RU,0.05,0.4019607843137255,24321,41909,63.27797070813831,3887,59,1.4951849974657883,0.9850481500253421
80,stroke_imbalanced,0.5,0.9637910396716827,67562,168,0.24804370293813674,73,2373,97.01553556827474,0.029844644317252658
81,stroke_imbalanced,0.45,0.9634347925216599,67501,229,0.338107190314484,109,2337,95.5437448896157,0.04456255110384301
82,stroke_imbalanced,0.4,0.9626652986776105,67400,330,0.4872287021999114,156,2290,93.62224039247752,0.06377759607522486
83,stroke_imbalanced,0.35,0.9613115595075239,67254,476,0.7027904916580541,207,2239,91.53720359771054,0.08462796402289452
84,stroke_imbalanced,0.3,0.9592453260373917,67023,707,1.043850583197992,293,2153,88.02125919869174,0.11978740801308259
85,stroke_imbalanced,0.25,0.9554406064751482,66646,1084,1.6004724641960726,403,2043,83.52412101390024,0.16475878986099754
86,stroke_imbalanced,0.2,0.9495696534427724,66092,1638,2.418426103646833,545,1901,77.71872444807849,0.22281275551921503
87,stroke_imbalanced,0.15,0.9363172594619243,64922,2808,4.145873320537428,785,1661,67.9067865903516,0.3209321340964841
88,stroke_imbalanced,0.1,0.9066489968080256,62529,5201,7.67901963679315,1096,1350,55.192150449713814,0.44807849550286183
89,stroke_imbalanced,0.05,0.8187272001823985,55801,11929,17.612579359220433,1654,792,32.379394930498776,0.6762060506950123
90,stroke_RO,0.5,0.8151504787961696,55598,12132,17.912298833604016,1606,840,34.341782502044154,0.6565821749795585
91,stroke_RO,0.45,0.7855107159142727,53393,14337,21.16787243466706,1731,715,29.231398201144724,0.7076860179885527
92,stroke_RO,0.4,0.7539757181942545,51075,16655,24.590284954968254,1836,610,24.938675388389207,0.7506132461161079
93,stroke_RO,0.35,0.7191347469220246,48536,19194,28.33899306068212,1930,516,21.09566639411284,0.7890433360588717
94,stroke_RO,0.3,0.6819282945736435,45827,21903,32.33869777055958,2028,418,17.089125102207685,0.8291087489779232
95,stroke_RO,0.25,0.6396488828089375,42789,24941,36.82415473202421,2099,347,14.18642681929681,0.8581357318070318
96,stroke_RO,0.2,0.5907290241678067,39281,28449,42.003543481470544,2174,272,11.120196238757154,0.8887980376124285
97,stroke_RO,0.15,0.5283572731418149,34832,32898,48.57227225749299,2246,200,8.176614881439084,0.9182338511856092
98,stroke_RO,0.1,0.44036422708618334,28588,39142,57.79122988336041,2315,131,5.3556827473426,0.946443172526574
99,stroke_RO,0.05,0.30590230278157776,19084,48646,71.82341650671785,2383,63,2.5756336876533115,0.9742436631234669
100,stroke_RU,0.5,0.7346813725490197,49624,18106,26.732614794035143,1933,513,20.97301717089125,0.7902698282910875
101,stroke_RU,0.45,0.7054121067031464,47492,20238,29.88040750036911,2011,435,17.784137367130008,0.8221586263287
102,stroke_RU,0.4,0.6750740994072048,45304,22426,33.1108814410158,2070,376,15.372035977105478,0.8462796402289452
103,stroke_RU,0.35,0.6440663474692202,43055,24675,36.43141886903883,2143,303,12.387571545380213,0.8761242845461978
104,stroke_RU,0.3,0.6089973780209759,40547,27183,40.13435700575816,2190,256,10.466067048242028,0.8953393295175798
105,stroke_RU,0.25,0.5702091883264934,37785,29945,44.21231359811014,2230,216,8.83074407195421,0.9116925592804579
106,stroke_RU,0.2,0.5212323301413588,34299,33431,49.35922043407648,2279,167,6.827473426001636,0.9317252657399836
107,stroke_RU,0.15,0.4594590743274054,29920,37810,55.82459766720803,2323,123,5.028618152085037,0.9497138184791496
108,stroke_RU,0.1,0.370953032375741,23653,44077,65.07751365716817,2379,67,2.739165985282093,0.9726083401471791
109,stroke_RU,0.05,0.23587836297309622,14128,53602,79.14070574339289,2425,21,0.8585445625511038,0.991414554374489
110,cancer_imbalanced,0.5,0.9044402644778842,63348,166,0.2613597002235728,122,6540,98.16871810267187,0.018312818973281297
111,cancer_imbalanced,0.45,0.9035995212038304,63207,307,0.48335799981106525,204,6458,96.93785649954968,0.030621435004503154
112,cancer_imbalanced,0.4,0.9021460328317373,62963,551,0.8675252700192084,346,6316,94.80636445511858,0.05193635544881417
113,cancer_imbalanced,0.35,0.8985835613315093,62500,1014,1.5964984097994142,559,6103,91.60912638847194,0.0839087361152807
114,cancer_imbalanced,0.3,0.8909883720930233,61649,1865,2.9363604874515854,877,5785,86.83578504953468,0.13164214950465325
115,cancer_imbalanced,0.25,0.8746295029639762,59918,3596,5.66174386749378,1460,5202,78.08465926148304,0.2191534073851696
116,cancer_imbalanced,0.2,0.8428380072959416,56810,6704,10.555153194571275,2337,4325,64.92044431101772,0.3507955568898229
117,cancer_imbalanced,0.15,0.7813069995440036,51343,12171,19.162704285669303,3486,3176,47.673371359951965,0.5232662864004803
118,cancer_imbalanced,0.1,0.675515845873233,42587,20927,32.948641244450044,4818,1844,27.679375562894027,0.7232062443710597
119,cancer_imbalanced,0.05,0.5082364341085271,29683,33831,53.26542179676922,5983,679,10.192134494145902,0.898078655058541
120,cancer_RO,0.5,0.6892384860921112,43727,19787,31.153761375444784,4641,2021,30.336235364755325,0.6966376463524467
121,cancer_RO,0.45,0.6447218422252622,40195,23319,36.714740057310195,5049,1613,24.2119483638547,0.757880516361453
122,cancer_RO,0.4,0.600390446876425,36748,26766,42.141889977012944,5385,1277,19.168417892524765,0.8083158210747523
